seriesRank,seriesTitle,seriesLink,overallRating,numberOfRatings,timeRange,episodes,seasons,storyline,genres,language,countries
1,Breaking Bad,https://www.imdb.com/title/tt0903747/?ref_=chttvtp_t_1,9.5,2500000,2008-2013,62,5,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,"Comedy, Crime, Drama",English,United States
13,Game of Thrones,https://www.imdb.com/title/tt0944947/?ref_=chttvtp_t_13,9.2,2500000,2011-2019,74,8,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Action, Adventure, Fantasy",English,United States
158,Stranger Things,https://www.imdb.com/title/tt4574334/?ref_=chttvtp_t_158,8.6,1700000,2016-2025,42,5,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.","Comedy, Fantasy, Horror",English,United States
57,Friends,https://www.imdb.com/title/tt0108778/?ref_=chttvtp_t_57,8.9,1200000,1994-2004,235,10,The personal and professional lives of six friends living in the Manhattan borough of New York City.,"Romance, Comedy",English,United States
23,Sherlock,https://www.imdb.com/title/tt1475582/?ref_=chttvtp_t_23,9,1100000,2010-2017,15,4,"In modern-day London, brilliant but eccentric detective Sherlock Holmes teams with war veteran Dr. John Watson to crack baffling crimes, outwit formidable foes, and aid Scotland Yard with razor-sharp deduction.","Crime, Thriller, Drama",English,United Kingdom
5,Chernobyl,https://www.imdb.com/title/tt7366338/?ref_=chttvtp_t_5,9.3,1000000,2019,5,1,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.","Documentary, Drama, History",English,United States
134,Dexter,https://www.imdb.com/title/tt0773262/?ref_=chttvtp_t_134,8.6,910000,2006-2013,96,8,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and his nights committing them.","Comedy, Drama, Thriller",English,United States
132,The Boys,https://www.imdb.com/title/tt1190634/?ref_=chttvtp_t_132,8.6,831000,2019-2026,40,5,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Comedy, Drama, Action",English,United States
27,The Office,https://www.imdb.com/title/tt0386676/?ref_=chttvtp_t_27,9,817000,2005-2013,191,9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, tedium and romance.",Comedy,English,United States
25,Better Call Saul,https://www.imdb.com/title/tt3032476/?ref_=chttvtp_t_25,9,801000,2015-2022,63,6,"Albuquerque lawyer Jimmy McGill scrapes for clients and respect, but every win drags him closer to shady deals, dangerous players, and the alter ego Saul Goodman.","Comedy, Crime, Drama",English,United States
93,Peaky Blinders,https://www.imdb.com/title/tt2442560/?ref_=chttvtp_t_93,8.7,753000,2013-2022,36,6,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Crime, Drama",English,United Kingdom
49,True Detective,https://www.imdb.com/title/tt2356777/?ref_=chttvtp_t_49,8.8,741000,2014-,31,5,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Drama, Crime, Thriller",English,United States
91,Black Mirror,https://www.imdb.com/title/tt2085059/?ref_=chttvtp_t_91,8.7,727000,2011-,34,8,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world.","Thriller, Comedy, Sci-Fi",English,United Kingdom
22,Rick and Morty,https://www.imdb.com/title/tt2861424/?ref_=chttvtp_t_22,9,684000,2013-,85,12,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,"Animation, Comedy, Drama",English,United States
17,Attack on Titan,https://www.imdb.com/title/tt2560140/?ref_=chttvtp_t_17,9.1,683000,2013-2023,98,4,"In a world where humanity shelters behind towering walls from man-eating Titans, a determined teen joins the elite Survey Corps to fight the giants and uncover the secrets of their origin.","Action, Animation, Horror",Japanese,Japan
202,The Queen's Gambit,https://www.imdb.com/title/tt10048342/?ref_=chttvtp_t_202,8.5,651000,2020,7,1,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",Drama,English,United States
146,The Mandalorian,https://www.imdb.com/title/tt8111088/?ref_=chttvtp_t_146,8.6,646000,2019-,25,4,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Action, Adventure, Fantasy",English,United States
4,Band of Brothers,https://www.imdb.com/title/tt0185906/?ref_=chttvtp_t_4,9.4,586000,2001,10,1,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Drama, War, Action",English,United Kingdom
113,House M.D.,https://www.imdb.com/title/tt0412142/?ref_=chttvtp_t_113,8.7,585000,2004-2012,177,8,"Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.","Comedy, Drama",English,United States
8,The Sopranos,https://www.imdb.com/title/tt0141842/?ref_=chttvtp_t_8,9.2,564000,1999-2007,86,6,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","Drama, Crime",English,United States
144,House of Cards,https://www.imdb.com/title/tt1856010/?ref_=chttvtp_t_144,8.6,556000,2013-2018,73,6,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"Drama, Thriller",English,United States
97,Dark,https://www.imdb.com/title/tt5753856/?ref_=chttvtp_t_97,8.7,529000,2017-2020,26,3,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","Drama, Thriller, Mystery",German,Germany
148,Daredevil,https://www.imdb.com/title/tt3322312/?ref_=chttvtp_t_148,8.6,522000,2015-2018,39,3,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Crime, Drama, Thriller",English,United States
81,Narcos,https://www.imdb.com/title/tt2707408/?ref_=chttvtp_t_81,8.7,521000,2015-2017,30,3,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Documentary, Crime, Drama",English,United States
39,Death Note,https://www.imdb.com/title/tt0877057/?ref_=chttvtp_t_39,8.9,465000,2006-2007,37,2,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Animation, Drama, Crime",Japanese,Japan
112,The Simpsons,https://www.imdb.com/title/tt0096697/?ref_=chttvtp_t_112,8.6,465000,1989-,857,40,The satiric half-hour adventures of a working-class family in the misfit city of Springfield.,"Animation, Comedy",English,United States
50,Fargo,https://www.imdb.com/title/tt2802850/?ref_=chttvtp_t_50,8.8,463000,2014-2024,51,5,"Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Comedy, Drama, Thriller",English,United States
204,Mr. Robot,https://www.imdb.com/title/tt4158110/?ref_=chttvtp_t_204,8.5,461000,2015-2019,45,4,"Elliot, a brilliant but unstable cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global chaos when he and his shadowy allies try to take down the corrupt corporation his company is paid to protect.","Thriller, Drama, Crime",English,United States
84,South Park,https://www.imdb.com/title/tt0121955/?ref_=chttvtp_t_84,8.7,440000,1997-,334,30,"The misadventures of four foul-mouthed, dirty-minded, irreverent grade-schoolers who live in the quiet, dysfunctional mountain town of South Park, Colorado.","Animation, Comedy",English,United States
26,Arcane,https://www.imdb.com/title/tt11126994/?ref_=chttvtp_t_26,9,432000,2021-2024,18,2,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.","Action, Animation, Fantasy",English,United States
87,Ted Lasso,https://www.imdb.com/title/tt10986410/?ref_=chttvtp_t_87,8.8,432000,2020-,44,4,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Drama, Comedy, Sport",English,United States
7,Avatar: The Last Airbender,https://www.imdb.com/title/tt0417299/?ref_=chttvtp_t_7,9.3,431000,2005-2008,62,3,"In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Adventure, Drama, Fantasy",English,United States
6,The Wire,https://www.imdb.com/title/tt0306414/?ref_=chttvtp_t_6,9.3,424000,2002-2008,60,5,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Drama, Crime, Thriller",English,United States
150,Mindhunter,https://www.imdb.com/title/tt5290382/?ref_=chttvtp_t_150,8.6,390000,2017-2019,19,2,"In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters.","Drama, Documentary, Crime",English,United States
43,Seinfeld,https://www.imdb.com/title/tt0098904/?ref_=chttvtp_t_43,8.9,381000,1989-1998,172,9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Comedy,English,United States
116,Severance,https://www.imdb.com/title/tt11280740/?ref_=chttvtp_t_116,8.6,373000,2022-,20,3,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Thriller, Sci-Fi, Drama",English,United States
218,Sons of Anarchy,https://www.imdb.com/title/tt1124373/?ref_=chttvtp_t_218,8.5,351000,2008-2014,92,7,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Crime, Drama, Thriller",English,United States
61,Succession,https://www.imdb.com/title/tt7660850/?ref_=chttvtp_t_61,8.8,346000,2018-2023,39,4,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Comedy, Drama",English,United States
54,One Piece,https://www.imdb.com/title/tt0388629/?ref_=chttvtp_t_54,9,341000,1999-,1177,28,"Rubber-bodied dreamer Monkey D. Luffy gathers an eclectic pirate crew and braves the perilous Grand Line, battling tyrants and monsters to claim the legendary ""One Piece"" and become King of the Pirates.","Action, Adventure, Animation",Japanese,Japan
119,Arrested Development,https://www.imdb.com/title/tt0367279/?ref_=chttvtp_t_119,8.6,341000,2003-2019,84,5,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",Comedy,English,United States
194,The Haunting of Hill House,https://www.imdb.com/title/tt6763664/?ref_=chttvtp_t_194,8.5,324000,2018,10,1,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.","Horror, Drama, Mystery",English,United States
129,Aspirants,https://www.imdb.com/title/tt14392248/?ref_=chttvtp_t_129,9.1,317000,2021-,10,2,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,Drama,Hindi,India
138,Parks and Recreation,https://www.imdb.com/title/tt1266020/?ref_=chttvtp_t_138,8.6,312000,2009-2015,124,7,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Comedy,English,United States
250,Hannibal,https://www.imdb.com/title/tt2243973/?ref_=chttvtp_t_250,8.5,304000,2013-2015,39,3,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"Horror, Thriller, Crime",English,United States
239,The Bear,https://www.imdb.com/title/tt14452776/?ref_=chttvtp_t_239,8.5,303000,2022-,39,5,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,"Drama, Comedy",English,United States
109,Invincible,https://www.imdb.com/title/tt6741278/?ref_=chttvtp_t_109,8.7,301000,2021-,26,5,"When 17-year-old Mark Grayson inherits superpowers, he becomes the superhero Invincible.","Animation, Drama, Thriller",English,United States
227,Yellowstone,https://www.imdb.com/title/tt4236770/?ref_=chttvtp_t_227,8.6,301000,2018-2024,53,5,A ranching family in Montana faces off against others encroaching on their land.,"Western, Drama",English,United States
37,Firefly,https://www.imdb.com/title/tt0303461/?ref_=chttvtp_t_37,8.9,299000,2002-2003,14,2,A renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.,"Sci-Fi, Adventure, Drama",English,United States
108,Mad Men,https://www.imdb.com/title/tt0804503/?ref_=chttvtp_t_108,8.7,286000,2007-2015,92,7,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Drama,English,United States
58,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/?ref_=chttvtp_t_58,8.8,279000,2005-,178,18,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Comedy,English,United States
143,The Crown,https://www.imdb.com/title/tt4786824/?ref_=chttvtp_t_143,8.6,278000,2016-2023,60,6,Follows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century.,"Drama, Biography, History",English,United Kingdom
245,Futurama,https://www.imdb.com/title/tt0149460/?ref_=chttvtp_t_245,8.5,277000,1999-,180,14,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Animation, Comedy, Drama",English,United States
137,The X Files,https://www.imdb.com/title/tt0106179/?ref_=chttvtp_t_137,8.6,270000,1993-2018,217,11,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","Thriller, Crime, Mystery",English,United States
170,Andor,https://www.imdb.com/title/tt9253284/?ref_=chttvtp_t_170,8.6,266000,2022-2025,24,2,"In an era filled with danger, deception, and intrigue, Cassian Andor embarks on a path that is destined to turn him into a Rebel hero.","Action, Adventure, Sci-Fi",English,United States
102,Downton Abbey,https://www.imdb.com/title/tt1606375/?ref_=chttvtp_t_102,8.7,244000,2010-2015,52,6,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Drama, Romance",English,United Kingdom
80,Twin Peaks,https://www.imdb.com/title/tt0098936/?ref_=chttvtp_t_80,8.7,242000,1990-1991,30,2,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Drama, Crime, Thriller",English,United States
